date	index
4.8.2021	442.14
5.8.2021	445.16
6.8.2021	446.51
9.8.2021	446.65
10.8.2021	446.05
11.8.2021	446.96
12.8.2021	448.67
13.8.2021	446.79
16.8.2021	445.27
17.8.2021	443.80
18.8.2021	441.09
19.8.2021	441.95
20.8.2021	445.57
23.8.2021	449.21
24.8.2021	451.62
25.8.2021	453.76
26.8.2021	451.42
27.8.2021	454.48
30.8.2021	455.42
31.8.2021	455.38
1.9.2021	454.99
2.9.2021	455.41
3.9.2021	457.68
6.9.2021	459.45
7.9.2021	458.22
8.9.2021	456.34
9.9.2021	455.74
10.9.2021	453.64
13.9.2021	453.70
14.9.2021	452.83
15.9.2021	455.81
16.9.2021	458.76
17.9.2021	456.15
20.9.2021	449.01
21.9.2021	448.87
22.9.2021	452.41
23.9.2021	457.72
24.9.2021	459.71
27.9.2021	458.84
28.9.2021	449.22
29.9.2021	449.01
30.9.2021	448.17
1.10.2021	451.57
4.10.2021	443.02
5.10.2021	447.72
6.10.2021	450.44
7.10.2021	455.36
8.10.2021	453.82
11.10.2021	451.14
12.10.2021	450.54
13.10.2021	453.38
14.10.2021	460.06
15.10.2021	462.80
18.10.2021	464.65
19.10.2021	466.77
20.10.2021	466.29
21.10.2021	467.65
22.10.2021	467.66
25.10.2021	470.89
26.10.2021	472.15
27.10.2021	467.51
28.10.2021	467.45
29.10.2021	472.95
1.11.2021	474.63
2.11.2021	477.12
3.11.2021	477.87
4.11.2021	483.02
5.11.2021	485.28
8.11.2021	486.30
9.11.2021	484.59
10.11.2021	481.39
11.11.2021	484.28
12.11.2021	489.79
15.11.2021	489.78
16.11.2021	495.19
17.11.2021	492.54
18.11.2021	490.67
19.11.2021	491.15
22.11.2021	488.73
23.11.2021	486.14
24.11.2021	490.59
25.11.2021	490.65
26.11.2021	475.79
29.11.2021	484.34
30.11.2021	474.78
1.12.2021	465.48
2.12.2021	473.57
3.12.2021	469.76
6.12.2021	473.15
7.12.2021	485.96
8.12.2021	485.06
9.12.2021	481.40
